FullGeoName,Year,Travel status,County,Count,Legend,Notes
"AL, Baldwin",2010,All,01003,1 to 4,1 to 4,"AL, Baldwin County"
"AL, Jefferson",2010,All,01073,1 to 4,1 to 4,"AL, Jefferson County"
"AL, Madison",2010,All,01089,1 to 4,1 to 4,"AL, Madison County"
"AL, Mobile",2010,All,01097,1 to 4,1 to 4,"AL, Mobile County"
"AK, Anchorage Muny",2010,All,02020,1 to 4,1 to 4,"AK, Anchorage, Municipality of"
"AZ, Pima",2010,All,04019,1 to 4,1 to 4,"AZ, Pima County"
"AZ, Pinal",2010,All,04021,1 to 4,1 to 4,"AZ, Pinal County"
"AZ, Yavapai",2010,All,04025,1 to 4,1 to 4,"AZ, Yavapai County"
"AR, Chicot",2010,All,05017,1 to 4,1 to 4,"AR, Chicot County"
"CA, Amador",2010,All,06005,1 to 4,1 to 4,"CA, Amador County"
"CA, Colusa",2010,All,06011,1 to 4,1 to 4,"CA, Colusa County"
"CA, Kern",2010,All,06029,1 to 4,1 to 4,"CA, Kern County"
"CA, Los Angeles",2010,All,06037,1 to 4,1 to 4,"CA, Los Angeles County"
"CA, Marin",2010,All,06041,1 to 4,1 to 4,"CA, Marin County"
"CA, Nevada",2010,All,06057,1 to 4,1 to 4,"CA, Nevada County"
"CA, Orange",2010,All,06059,1 to 4,1 to 4,"CA, Orange County"
"CA, Placer",2010,All,06061,1 to 4,1 to 4,"CA, Placer County"
"CA, Riverside",2010,All,06065,1 to 4,1 to 4,"CA, Riverside County"
"CA, San Diego",2010,All,06073,1 to 4,1 to 4,"CA, San Diego County"
"CA, San Francisco",2010,All,06075,1 to 4,1 to 4,"CA, San Francisco, City and County of"
"CA, San Joaquin",2010,All,06077,1 to 4,1 to 4,"CA, San Joaquin County"
"CA, San Luis Obispo",2010,All,06079,1 to 4,1 to 4,"CA, San Luis Obispo County"
"CA, San Mateo",2010,All,06081,1 to 4,1 to 4,"CA, San Mateo County"
"CA, Solano",2010,All,06095,1 to 4,1 to 4,"CA, Solano County"
"CA, Sonoma",2010,All,06097,1 to 4,1 to 4,"CA, Sonoma County"
"CA, Tulare",2010,All,06107,1 to 4,1 to 4,"CA, Tulare County"
"FL, Alachua",2010,All,12001,1 to 4,1 to 4,"FL, Alachua County"
"FL, Brevard",2010,All,12009,1 to 4,1 to 4,"FL, Brevard County"
"FL, Collier",2010,All,12021,1 to 4,1 to 4,"FL, Collier County"
"FL, Duval",2010,All,12031,1 to 4,1 to 4,"FL, Duval County"
"FL, Escambia",2010,All,12033,1 to 4,1 to 4,"FL, Escambia County"
"FL, Flagler",2010,All,12035,1 to 4,1 to 4,"FL, Flagler County"
"FL, Hendry",2010,All,12051,1 to 4,1 to 4,"FL, Hendry County"
"FL, Lake",2010,All,12069,1 to 4,1 to 4,"FL, Lake County"
"FL, Lee",2010,All,12071,1 to 4,1 to 4,"FL, Lee County"
"FL, Manatee",2010,All,12081,1 to 4,1 to 4,"FL, Manatee County"
"FL, Marion",2010,All,12083,1 to 4,1 to 4,"FL, Marion County"
"FL, Pasco",2010,All,12101,1 to 4,1 to 4,"FL, Pasco County"
"FL, Pinellas",2010,All,12103,1 to 4,1 to 4,"FL, Pinellas County"
"FL, Polk",2010,All,12105,1 to 4,1 to 4,"FL, Polk County"
"FL, St Lucie",2010,All,12111,1 to 4,1 to 4,"FL, St. Lucie County"
"FL, Sarasota",2010,All,12115,1 to 4,1 to 4,"FL, Sarasota County"
"FL, Seminole",2010,All,12117,1 to 4,1 to 4,"FL, Seminole County"
"FL, Volusia",2010,All,12127,1 to 4,1 to 4,"FL, Volusia County"
"GA, Carroll",2010,All,13045,1 to 4,1 to 4,"GA, Carroll County"
"GA, Cobb",2010,All,13067,1 to 4,1 to 4,"GA, Cobb County"
"GA, De Kalb",2010,All,13089,1 to 4,1 to 4,"GA, DeKalb County"
"GA, Effingham",2010,All,13103,1 to 4,1 to 4,"GA, Effingham County"
"GA, Fulton",2010,All,13121,1 to 4,1 to 4,"GA, Fulton County"
"GA, Gwinnett",2010,All,13135,1 to 4,1 to 4,"GA, Gwinnett County"
"GA, Schley",2010,All,13249,1 to 4,1 to 4,"GA, Schley County"
"ID, Ada",2010,All,16001,1 to 4,1 to 4,"ID, Ada County"
"IL, Bureau",2010,All,17011,1 to 4,1 to 4,"IL, Bureau County"
"IL, Du Page",2010,All,17043,1 to 4,1 to 4,"IL, DuPage County"
"IL, Kane",2010,All,17089,1 to 4,1 to 4,"IL, Kane County"
"IL, Lake",2010,All,17097,1 to 4,1 to 4,"IL, Lake County"
"IL, Mclean",2010,All,17113,1 to 4,1 to 4,"IL, McLean County"
"IL, Madison",2010,All,17119,1 to 4,1 to 4,"IL, Madison County"
"IN, Allen",2010,All,18003,1 to 4,1 to 4,"IN, Allen County"
"IN, Brown",2010,All,18013,1 to 4,1 to 4,"IN, Brown County"
"IN, Howard",2010,All,18067,1 to 4,1 to 4,"IN, Howard County"
"IN, La Grange",2010,All,18087,1 to 4,1 to 4,"IN, LaGrange County"
"IN, Lake",2010,All,18089,1 to 4,1 to 4,"IN, Lake County"
"IN, Marion",2010,All,18097,1 to 4,1 to 4,"IN, Marion County"
"IN, Monroe",2010,All,18105,1 to 4,1 to 4,"IN, Monroe County"
"IN, Porter",2010,All,18127,1 to 4,1 to 4,"IN, Porter County"
"IN, Tippecanoe",2010,All,18157,1 to 4,1 to 4,"IN, Tippecanoe County"
"IN, Vigo",2010,All,18167,1 to 4,1 to 4,"IN, Vigo County"
"IA, Clinton",2010,All,19045,1 to 4,1 to 4,"IA, Clinton County"
"IA, Grundy",2010,All,19075,1 to 4,1 to 4,"IA, Grundy County"
"KS, Douglas",2010,All,20045,1 to 4,1 to 4,"KS, Douglas County"
"KS, Geary",2010,All,20061,1 to 4,1 to 4,"KS, Geary County"
"KS, Johnson",2010,All,20091,1 to 4,1 to 4,"KS, Johnson County"
"KS, Riley",2010,All,20161,1 to 4,1 to 4,"KS, Riley County"
"KY, Bullitt",2010,All,21029,1 to 4,1 to 4,"KY, Bullitt County"
"KY, Jefferson",2010,All,21111,1 to 4,1 to 4,"KY, Jefferson County"
"LA, Bossier Parish",2010,All,22015,1 to 4,1 to 4,"LA, Bossier Parish"
"LA, Jefferson Parish",2010,All,22051,1 to 4,1 to 4,"LA, Jefferson Parish"
"LA, Orleans Parish",2010,All,22071,1 to 4,1 to 4,"LA, Orleans Parish"
"ME, Cumberland",2010,All,23005,1 to 4,1 to 4,"ME, Cumberland County"
"ME, Franklin",2010,All,23007,1 to 4,1 to 4,"ME, Franklin County"
"ME, Kennebec",2010,All,23011,1 to 4,1 to 4,"ME, Kennebec County"
"MI, Gratiot",2010,All,26057,1 to 4,1 to 4,"MI, Gratiot County"
"MI, Kalamazoo",2010,All,26077,1 to 4,1 to 4,"MI, Kalamazoo County"
"MI, Kent",2010,All,26081,1 to 4,1 to 4,"MI, Kent County"
"MI, Oakland",2010,All,26125,1 to 4,1 to 4,"MI, Oakland County"
"MI, Washtenaw",2010,All,26161,1 to 4,1 to 4,"MI, Washtenaw County"
"MI, Wayne",2010,All,26163,1 to 4,1 to 4,"MI, Wayne County"
"MN, Crow Wing",2010,All,27035,1 to 4,1 to 4,"MN, Crow Wing County"
"MN, Dakota",2010,All,27037,1 to 4,1 to 4,"MN, Dakota County"
"MN, Ramsey",2010,All,27123,1 to 4,1 to 4,"MN, Ramsey County"
"MN, Scott",2010,All,27139,1 to 4,1 to 4,"MN, Scott County"
"MO, Cole",2010,All,29051,1 to 4,1 to 4,"MO, Cole County"
"MO, St Charles",2010,All,29183,1 to 4,1 to 4,"MO, St. Charles County"
"MO, St Louis",2010,All,29189,1 to 4,1 to 4,"MO, St. Louis County"
"MO, St Louis City",2010,All,29510,1 to 4,1 to 4,"MO, St. Louis, City of"
"MT, Cascade",2010,All,30013,1 to 4,1 to 4,"MT, Cascade County"
"MT, Flathead",2010,All,30029,1 to 4,1 to 4,"MT, Flathead County"
"MT, Lake",2010,All,30047,1 to 4,1 to 4,"MT, Lake County"
"MT, Missoula",2010,All,30063,1 to 4,1 to 4,"MT, Missoula County"
"NV, Clark",2010,All,32003,1 to 4,1 to 4,"NV, Clark County"
"NJ, Atlantic",2010,All,34001,1 to 4,1 to 4,"NJ, Atlantic County"
"NJ, Bergen",2010,All,34003,1 to 4,1 to 4,"NJ, Bergen County"
"NJ, Camden",2010,All,34007,1 to 4,1 to 4,"NJ, Camden County"
"NJ, Cumberland",2010,All,34011,1 to 4,1 to 4,"NJ, Cumberland County"
"NJ, Essex",2010,All,34013,1 to 4,1 to 4,"NJ, Essex County"
"NJ, Hudson",2010,All,34017,1 to 4,1 to 4,"NJ, Hudson County"
"NJ, Hunterdon",2010,All,34019,1 to 4,1 to 4,"NJ, Hunterdon County"
"NJ, Mercer",2010,All,34021,1 to 4,1 to 4,"NJ, Mercer County"
"NJ, Middlesex",2010,All,34023,1 to 4,1 to 4,"NJ, Middlesex County"
"NJ, Monmouth",2010,All,34025,1 to 4,1 to 4,"NJ, Monmouth County"
"NJ, Morris",2010,All,34027,1 to 4,1 to 4,"NJ, Morris County"
"NJ, Passaic",2010,All,34031,1 to 4,1 to 4,"NJ, Passaic County"
"NJ, Somerset",2010,All,34035,1 to 4,1 to 4,"NJ, Somerset County"
"NJ, Sussex",2010,All,34037,1 to 4,1 to 4,"NJ, Sussex County"
"NJ, Union",2010,All,34039,1 to 4,1 to 4,"NJ, Union County"
"NM, Grant",2010,All,35017,1 to 4,1 to 4,"NM, Grant County"
"NY, Broome",2010,All,36007,1 to 4,1 to 4,"NY, Broome County"
"NY, Dutchess",2010,All,36027,1 to 4,1 to 4,"NY, Dutchess County"
"NY, Livingston",2010,All,36051,1 to 4,1 to 4,"NY, Livingston County"
"NY, Monroe",2010,All,36055,1 to 4,1 to 4,"NY, Monroe County"
"NY, Rockland",2010,All,36087,1 to 4,1 to 4,"NY, Rockland County"
"NY, Saratoga",2010,All,36091,1 to 4,1 to 4,"NY, Saratoga County"
"NY, Suffolk",2010,All,36103,1 to 4,1 to 4,"NY, Suffolk County"
"NC, Bladen",2010,All,37017,1 to 4,1 to 4,"NC, Bladen County"
"NC, Buncombe",2010,All,37021,1 to 4,1 to 4,"NC, Buncombe County"
"NC, Craven",2010,All,37049,1 to 4,1 to 4,"NC, Craven County"
"NC, Johnston",2010,All,37101,1 to 4,1 to 4,"NC, Johnston County"
"NC, Mecklenburg",2010,All,37119,1 to 4,1 to 4,"NC, Mecklenburg County"
"NC, Orange",2010,All,37135,1 to 4,1 to 4,"NC, Orange County"
"NC, Wake",2010,All,37183,1 to 4,1 to 4,"NC, Wake County"
"ND, Logan",2010,All,38047,1 to 4,1 to 4,"ND, Logan County"
"OH, Cuyahoga",2010,All,39035,1 to 4,1 to 4,"OH, Cuyahoga County"
"OH, Delaware",2010,All,39041,1 to 4,1 to 4,"OH, Delaware County"
"OH, Franklin",2010,All,39049,1 to 4,1 to 4,"OH, Franklin County"
"OH, Knox",2010,All,39083,1 to 4,1 to 4,"OH, Knox County"
"OH, Logan",2010,All,39091,1 to 4,1 to 4,"OH, Logan County"
"OH, Lorain",2010,All,39093,1 to 4,1 to 4,"OH, Lorain County"
"OH, Medina",2010,All,39103,1 to 4,1 to 4,"OH, Medina County"
"OH, Montgomery",2010,All,39113,1 to 4,1 to 4,"OH, Montgomery County"
"OH, Stark",2010,All,39151,1 to 4,1 to 4,"OH, Stark County"
"OH, Summit",2010,All,39153,1 to 4,1 to 4,"OH, Summit County"
"OK, Canadian",2010,All,40017,1 to 4,1 to 4,"OK, Canadian County"
"OK, Cleveland",2010,All,40027,1 to 4,1 to 4,"OK, Cleveland County"
"OK, Stephens",2010,All,40137,1 to 4,1 to 4,"OK, Stephens County"
"OK, Tulsa",2010,All,40143,1 to 4,1 to 4,"OK, Tulsa County"
"PA, Allegheny",2010,All,42003,1 to 4,1 to 4,"PA, Allegheny County"
"PA, Berks",2010,All,42011,1 to 4,1 to 4,"PA, Berks County"
"PA, Bucks",2010,All,42017,1 to 4,1 to 4,"PA, Bucks County"
"PA, Centre",2010,All,42027,1 to 4,1 to 4,"PA, Centre County"
"PA, Cumberland",2010,All,42041,1 to 4,1 to 4,"PA, Cumberland County"
"PA, Delaware",2010,All,42045,1 to 4,1 to 4,"PA, Delaware County"
"PA, Lancaster",2010,All,42071,1 to 4,1 to 4,"PA, Lancaster County"
"PA, Lehigh",2010,All,42077,1 to 4,1 to 4,"PA, Lehigh County"
"PA, Northampton",2010,All,42095,1 to 4,1 to 4,"PA, Northampton County"
"PA, Philadelphia",2010,All,42101,1 to 4,1 to 4,"PA, Philadelphia County"
"PA, Washington",2010,All,42125,1 to 4,1 to 4,"PA, Washington County"
"PA, Wayne",2010,All,42127,1 to 4,1 to 4,"PA, Wayne County"
"RI, Bristol",2010,All,44001,1 to 4,1 to 4,"RI, Bristol County"
"SC, Aiken",2010,All,45003,1 to 4,1 to 4,"SC, Aiken County"
"SC, Anderson",2010,All,45007,1 to 4,1 to 4,"SC, Anderson County"
"SC, Charleston",2010,All,45019,1 to 4,1 to 4,"SC, Charleston County"
"SC, Greenville",2010,All,45045,1 to 4,1 to 4,"SC, Greenville County"
"SC, Greenwood",2010,All,45047,1 to 4,1 to 4,"SC, Greenwood County"
"SC, Kershaw",2010,All,45055,1 to 4,1 to 4,"SC, Kershaw County"
"SC, Lexington",2010,All,45063,1 to 4,1 to 4,"SC, Lexington County"
"SC, Marlboro",2010,All,45069,1 to 4,1 to 4,"SC, Marlboro County"
"SC, Richland",2010,All,45079,1 to 4,1 to 4,"SC, Richland County"
"SD, Jackson",2010,All,46071,1 to 4,1 to 4,"SD, Jackson County"
"TN, Bradley",2010,All,47011,1 to 4,1 to 4,"TN, Bradley County"
"TX, Brazos",2010,All,48041,1 to 4,1 to 4,"TX, Brazos County"
"TX, Collin",2010,All,48085,1 to 4,1 to 4,"TX, Collin County"
"TX, Comal",2010,All,48091,1 to 4,1 to 4,"TX, Comal County"
"TX, Denton",2010,All,48121,1 to 4,1 to 4,"TX, Denton County"
"TX, Fort Bend",2010,All,48157,1 to 4,1 to 4,"TX, Fort Bend County"
"TX, Harris",2010,All,48201,1 to 4,1 to 4,"TX, Harris County"
"TX, Hidalgo",2010,All,48215,1 to 4,1 to 4,"TX, Hidalgo County"
"TX, Hood",2010,All,48221,1 to 4,1 to 4,"TX, Hood County"
"TX, Midland",2010,All,48329,1 to 4,1 to 4,"TX, Midland County"
"TX, Montgomery",2010,All,48339,1 to 4,1 to 4,"TX, Montgomery County"
"TX, Tarrant",2010,All,48439,1 to 4,1 to 4,"TX, Tarrant County"
"TX, Travis",2010,All,48453,1 to 4,1 to 4,"TX, Travis County"
"TX, Wichita",2010,All,48485,1 to 4,1 to 4,"TX, Wichita County"
"TX, Williamson",2010,All,48491,1 to 4,1 to 4,"TX, Williamson County"
"VT, Chittenden",2010,All,50007,1 to 4,1 to 4,"VT, Chittenden County"
"VT, Rutland",2010,All,50021,1 to 4,1 to 4,"VT, Rutland County"
"VA, Albemarle",2010,All,51003,1 to 4,1 to 4,"VA, Albemarle County"
"VA, Arlington",2010,All,51013,1 to 4,1 to 4,"VA, Arlington County"
"VA, Fairfax",2010,All,51059,1 to 4,1 to 4,"VA, Fairfax County"
"VA, Loudoun",2010,All,51107,1 to 4,1 to 4,"VA, Loudoun County"
"VA, Montgomery",2010,All,51121,1 to 4,1 to 4,"VA, Montgomery County"
"VA, Rappahannock",2010,All,51157,1 to 4,1 to 4,"VA, Rappahannock County"
"VA, Shenandoah",2010,All,51171,1 to 4,1 to 4,"VA, Shenandoah County"
"VA, Spotsylvania",2010,All,51177,1 to 4,1 to 4,"VA, Spotsylvania County"
"VA, Stafford",2010,All,51179,1 to 4,1 to 4,"VA, Stafford County"
"VA, Charlottesville City",2010,All,51540,1 to 4,1 to 4,"VA, Charlottesville, City of"
"WA, Kitsap",2010,All,53035,1 to 4,1 to 4,"WA, Kitsap County"
"WA, Pierce",2010,All,53053,1 to 4,1 to 4,"WA, Pierce County"
"WA, Whatcom",2010,All,53073,1 to 4,1 to 4,"WA, Whatcom County"
"WV, Fayette",2010,All,54019,1 to 4,1 to 4,"WV, Fayette County"
"WV, Wood",2010,All,54107,1 to 4,1 to 4,"WV, Wood County"
"WI, Bayfield",2010,All,55007,1 to 4,1 to 4,"WI, Bayfield County"
"WI, Dane",2010,All,55025,1 to 4,1 to 4,"WI, Dane County"
"WI, Juneau",2010,All,55057,1 to 4,1 to 4,"WI, Juneau County"
"WI, La Crosse",2010,All,55063,1 to 4,1 to 4,"WI, La Crosse County"
"WI, Marathon",2010,All,55073,1 to 4,1 to 4,"WI, Marathon County"
"WI, Milwaukee",2010,All,55079,1 to 4,1 to 4,"WI, Milwaukee County"
"WI, Waukesha",2010,All,55133,1 to 4,1 to 4,"WI, Waukesha County"
"PR, Aibonito",2010,All,72009,1 to 4,1 to 4,"PR, Aibonito Municipality"
"PR, Culebra",2010,All,72049,1 to 4,1 to 4,"PR, Culebra Municipality"
"AZ, Maricopa",2010,All,04013,9,5 to 49,"AZ, Maricopa County"
"CA, Santa Clara",2010,All,06085,8,5 to 49,"CA, Santa Clara County"
"FL, Broward",2010,All,12011,20,5 to 49,"FL, Broward County"
"FL, Hillsborough",2010,All,12057,7,5 to 49,"FL, Hillsborough County"
"FL, Orange",2010,All,12095,8,5 to 49,"FL, Orange County"
"FL, Osceola",2010,All,12097,6,5 to 49,"FL, Osceola County"
"FL, Palm Beach",2010,All,12099,9,5 to 49,"FL, Palm Beach County"
"IL, Cook",2010,All,17031,10,5 to 49,"IL, Cook County"
"MN, Hennepin",2010,All,27053,6,5 to 49,"MN, Hennepin County"
"NE, Merrick",2010,All,31121,7,5 to 49,"NE, Merrick County"
"NY, Bronx",2010,All,36005,35,5 to 49,"NY, Bronx County"
"NY, Kings",2010,All,36047,27,5 to 49,"NY, Kings County"
"NY, Nassau",2010,All,36059,6,5 to 49,"NY, Nassau County"
"NY, Queens",2010,All,36081,23,5 to 49,"NY, Queens County"
"NY, Richmond",2010,All,36085,5,5 to 49,"NY, Richmond County"
"NY, Westchester",2010,All,36119,14,5 to 49,"NY, Westchester County"
"WA, King",2010,All,53033,9,5 to 49,"WA, King County"
"WA, Snohomish",2010,All,53061,5,5 to 49,"WA, Snohomish County"
"PR, Aguas Buenas",2010,All,72007,16,5 to 49,"PR, Aguas Buenas Municipality"
"PR, Anasco",2010,All,72011,47,5 to 49,"PR, Anasco Municipality"
"PR, Barceloneta",2010,All,72017,35,5 to 49,"PR, Barceloneta Municipality"
"PR, Barranquitas",2010,All,72019,18,5 to 49,"PR, Barranquitas Municipality"
"PR, Cayey",2010,All,72035,24,5 to 49,"PR, Cayey Municipality"
"PR, Ceiba",2010,All,72037,29,5 to 49,"PR, Ceiba Municipality"
"PR, Cidra",2010,All,72041,16,5 to 49,"PR, Cidra Municipality"
"PR, Comerio",2010,All,72045,13,5 to 49,"PR, Comerio Municipality"
"PR, Guanica",2010,All,72055,21,5 to 49,"PR, Guanica Municipality"
"PR, Hormigueros",2010,All,72067,18,5 to 49,"PR, Hormigueros Municipality"
"PR, Las Marias",2010,All,72083,38,5 to 49,"PR, Las Marias Municipality"
"PR, Loiza",2010,All,72087,20,5 to 49,"PR, Loiza Municipality"
"PR, Luquillo",2010,All,72089,40,5 to 49,"PR, Luquillo Municipality"
"PR, Sabana Grande",2010,All,72121,30,5 to 49,"PR, Sabana Grande Municipality"
"PR, Vieques",2010,All,72147,8,5 to 49,"PR, Vieques Municipality"
"FL, Miami-Dade",2010,All,12086,54,50 to 249,"FL, Miami-Dade County"
"FL, Monroe",2010,All,12087,57,50 to 249,"FL, Monroe County"
"NY, New York",2010,All,36061,54,50 to 249,"NY, New York County"
"PR, Adjuntas",2010,All,72001,74,50 to 249,"PR, Adjuntas Municipality"
"PR, Aguada",2010,All,72003,137,50 to 249,"PR, Aguada Municipality"
"PR, Arroyo",2010,All,72015,153,50 to 249,"PR, Arroyo Municipality"
"PR, Cabo Rojo",2010,All,72023,74,50 to 249,"PR, Cabo Rojo Municipality"
"PR, Caguas",2010,All,72025,248,50 to 249,"PR, Caguas Municipality"
"PR, Camuy",2010,All,72027,168,50 to 249,"PR, Camuy Municipality"
"PR, Canovanas",2010,All,72029,78,50 to 249,"PR, Canovanas Municipality"
"PR, Catano",2010,All,72033,89,50 to 249,"PR, Catano Municipality"
"PR, Ciales Municipality",2010,All,72039,85,50 to 249,"PR, Ciales Municipality"
"PR, Coamo",2010,All,72043,86,50 to 249,"PR, Coamo Municipality"
"PR, Corozal",2010,All,72047,132,50 to 249,"PR, Corozal Municipality"
"PR, Dorado",2010,All,72051,72,50 to 249,"PR, Dorado Municipality"
"PR, Fajardo",2010,All,72053,64,50 to 249,"PR, Fajardo Municipality"
"PR, Florida",2010,All,72054,52,50 to 249,"PR, Florida Municipality"
"PR, Guayanilla",2010,All,72059,91,50 to 249,"PR, Guayanilla Municipality"
"PR, Guaynabo",2010,All,72061,235,50 to 249,"PR, Guaynabo Municipality"
"PR, Gurabo",2010,All,72063,57,50 to 249,"PR, Gurabo Municipality"
"PR, Hatillo",2010,All,72065,214,50 to 249,"PR, Hatillo Municipality"
"PR, Humacao Municipality",2010,All,72069,218,50 to 249,"PR, Humacao Municipality"
"PR, Isabela",2010,All,72071,184,50 to 249,"PR, Isabela Municipality"
"PR, Jayuya",2010,All,72073,96,50 to 249,"PR, Jayuya Municipality"
"PR, Juana Diaz",2010,All,72075,133,50 to 249,"PR, Juana Diaz Municipality"
"PR, Juncos",2010,All,72077,197,50 to 249,"PR, Juncos Municipality"
"PR, Lajas",2010,All,72079,50,50 to 249,"PR, Lajas Municipality"
"PR, Lares",2010,All,72081,209,50 to 249,"PR, Lares Municipality"
"PR, Las Piedras",2010,All,72085,141,50 to 249,"PR, Las Piedras Municipality"
"PR, Manati",2010,All,72091,102,50 to 249,"PR, Manati Municipality"
"PR, Maricao",2010,All,72093,61,50 to 249,"PR, Maricao Municipality"
"PR, Maunabo",2010,All,72095,84,50 to 249,"PR, Maunabo Municipality"
"PR, Mayaguez",2010,All,72097,226,50 to 249,"PR, Mayaguez Municipality"
"PR, Moca",2010,All,72099,235,50 to 249,"PR, Moca Municipality"
"PR, Morovis",2010,All,72101,112,50 to 249,"PR, Morovis Municipality"
"PR, Nabuabo",2010,All,72103,83,50 to 249,"PR, Naguabo Municipality"
"PR, Naranjito",2010,All,72105,86,50 to 249,"PR, Naranjito Municipality"
"PR, Orocovis",2010,All,72107,52,50 to 249,"PR, Orocovis Municipality"
"PR, Penuelas",2010,All,72111,143,50 to 249,"PR, Penuelas Municipality"
"PR, Quebradillas",2010,All,72115,210,50 to 249,"PR, Quebradillas Municipality"
"PR, Rincon",2010,All,72117,75,50 to 249,"PR, Rincon Municipality"
"PR, Rio Grande",2010,All,72119,113,50 to 249,"PR, Rio Grande Municipality"
"PR, Salinas",2010,All,72123,245,50 to 249,"PR, Salinas Municipality"
"PR, San German",2010,All,72125,58,50 to 249,"PR, San German Municipality"
"PR, San Lorenzo",2010,All,72129,119,50 to 249,"PR, San Lorenzo Municipality"
"PR, San Sabastian",2010,All,72131,249,50 to 249,"PR, San Sebastian Municipality"
"PR, Santa Isabel",2010,All,72133,100,50 to 249,"PR, Santa Isabel Municipality"
"PR, Toa Alta",2010,All,72135,203,50 to 249,"PR, Toa Alta Municipality"
"PR, Toa Baja",2010,All,72137,197,50 to 249,"PR, Toa Baja Municipality"
"PR, Trujillo Alto",2010,All,72139,141,50 to 249,"PR, Trujillo Alto Municipality"
"PR, Utuado",2010,All,72141,73,50 to 249,"PR, Utuado Municipality"
"PR, Vega Alta",2010,All,72143,83,50 to 249,"PR, Vega Alta Municipality"
"PR, Vega Baja",2010,All,72145,172,50 to 249,"PR, Vega Baja Municipality"
"PR, Villalba",2010,All,72149,91,50 to 249,"PR, Villalba Municipality"
"PR, Yabucoa",2010,All,72151,132,50 to 249,"PR, Yabucoa Municipality"
"PR, Yauco",2010,All,72153,58,50 to 249,"PR, Yauco Municipality"
"PR, Aguadilla",2010,All,72005,279,250+,"PR, Aguadilla Municipality"
"PR, Arecibo",2010,All,72013,429,250+,"PR, Arecibo Municipality"
"PR, Bayamon",2010,All,72021,761,250+,"PR, Bayamon Municipality"
"PR, Carolina",2010,All,72031,266,250+,"PR, Carolina Municipality"
"PR, Guayama",2010,All,72057,309,250+,"PR, Guayama Municipality"
"PR, Patillas",2010,All,72109,311,250+,"PR, Patillas Municipality"
"PR, Ponce",2010,All,72113,437,250+,"PR, Ponce Municipality"
"PR, San Juan",2010,All,72127,901,250+,"PR, San Juan Municipality"
"AL, Chilton",2011,All,01021,1 to 4,1 to 4,"AL, Chilton County"
"AL, Jefferson",2011,All,01073,1 to 4,1 to 4,"AL, Jefferson County"
"AL, Montgomery",2011,All,01101,1 to 4,1 to 4,"AL, Montgomery County"
"AL, Tuscaloosa",2011,All,01125,1 to 4,1 to 4,"AL, Tuscaloosa County"
"AZ, Maricopa",2011,All,04013,1 to 4,1 to 4,"AZ, Maricopa County"
"CA, Contra Costa",2011,All,06013,1 to 4,1 to 4,"CA, Contra Costa County"
"CA, Fresno",2011,All,06019,1 to 4,1 to 4,"CA, Fresno County"
"CA, Sacramento",2011,All,06067,1 to 4,1 to 4,"CA, Sacramento County"
"CA, San Diego",2011,All,06073,1 to 4,1 to 4,"CA, San Diego County"
"CA, San Mateo",2011,All,06081,1 to 4,1 to 4,"CA, San Mateo County"
"CT, New Haven",2011,All,09009,1 to 4,1 to 4,"CT, New Haven County"
"DE, New Castle",2011,All,10003,1 to 4,1 to 4,"DE, New Castle County"
"FL, Brevard",2011,All,12009,1 to 4,1 to 4,"FL, Brevard County"
"FL, Broward",2011,All,12011,1 to 4,1 to 4,"FL, Broward County"
"FL, Clay",2011,All,12019,1 to 4,1 to 4,"FL, Clay County"
"FL, Columbia",2011,All,12023,1 to 4,1 to 4,"FL, Columbia County"
"FL, Flagler",2011,All,12035,1 to 4,1 to 4,"FL, Flagler County"
"FL, Gulf",2011,All,12045,1 to 4,1 to 4,"FL, Gulf County"
"FL, Hendry",2011,All,12051,1 to 4,1 to 4,"FL, Hendry County"
"FL, Hillsborough",2011,All,12057,1 to 4,1 to 4,"FL, Hillsborough County"
"FL, Lee",2011,All,12071,1 to 4,1 to 4,"FL, Lee County"
"FL, Marion",2011,All,12083,1 to 4,1 to 4,"FL, Marion County"
"FL, Martin",2011,All,12085,1 to 4,1 to 4,"FL, Martin County"
"FL, Osceola",2011,All,12097,1 to 4,1 to 4,"FL, Osceola County"
"FL, Pasco",2011,All,12101,1 to 4,1 to 4,"FL, Pasco County"
"FL, Pinellas",2011,All,12103,1 to 4,1 to 4,"FL, Pinellas County"
"FL, St Johns",2011,All,12109,1 to 4,1 to 4,"FL, St. Johns County"
"FL, St Lucie",2011,All,12111,1 to 4,1 to 4,"FL, St. Lucie County"
"FL, Washington",2011,All,12133,1 to 4,1 to 4,"FL, Washington County"
"GA, Cobb",2011,All,13067,1 to 4,1 to 4,"GA, Cobb County"
"GA, De Kalb",2011,All,13089,1 to 4,1 to 4,"GA, DeKalb County"
"GA, Fulton",2011,All,13121,1 to 4,1 to 4,"GA, Fulton County"
"GA, Gwinnett",2011,All,13135,1 to 4,1 to 4,"GA, Gwinnett County"
"HI, Hawaii",2011,All,15001,1 to 4,1 to 4,"HI, Hawaii County"
"HI, Kauai",2011,All,15007,1 to 4,1 to 4,"HI, Kauai County"
"HI, Maui",2011,All,15009,1 to 4,1 to 4,"HI, Maui County"
"IL, Du Page",2011,All,17043,1 to 4,1 to 4,"IL, DuPage County"
"IL, Knox",2011,All,17095,1 to 4,1 to 4,"IL, Knox County"
